caldt,vwretd
2014-10-22,-0.007091
2014-10-23,0.012181
2014-10-24,0.006866
2014-10-27,-0.001469
2014-10-28,0.011817
2014-10-29,-0.001290
2014-10-30,0.006384
2014-10-31,0.011692
2014-11-03,-0.000161
2014-11-04,-0.002762
2014-11-05,0.005923
2014-11-06,0.004119
2014-11-07,0.000677
2014-11-10,0.003279
2014-11-11,0.000677
2014-11-12,-0.000444
2014-11-13,0.000912
2014-11-14,0.000423
2014-11-17,0.000814
2014-11-18,0.005303
2014-11-19,-0.001267
2014-11-20,0.001877
2014-11-21,0.005325
2014-11-24,0.002893
2014-11-25,-0.001140
2014-11-26,0.003037
2014-11-28,-0.002131
2014-12-01,-0.006999
2014-12-02,0.006352
2014-12-03,0.003846
2014-12-04,-0.001108
2014-12-05,0.001607
2014-12-08,-0.007021
2014-12-09,-0.000191
2014-12-10,-0.016261
2014-12-11,0.004852
2014-12-12,-0.016058
2014-12-15,-0.006143
2014-12-16,-0.008611
2014-12-17,0.020318
2014-12-18,0.024296
2014-12-19,0.004482
2014-12-22,0.004086
2014-12-23,0.001904
2014-12-24,-0.000148
2014-12-26,0.003310
2014-12-29,0.000948
2014-12-30,-0.004736
2014-12-31,-0.010244
2015-01-02,-0.000165
2015-01-05,-0.018112
2015-01-06,-0.008869
2015-01-07,0.012110
2015-01-08,0.017830
2015-01-09,-0.008400
2015-01-12,-0.007980
2015-01-13,-0.002560
2015-01-14,-0.005905
2015-01-15,-0.009149
2015-01-16,0.013317
2015-01-20,0.001686
2015-01-21,0.004874
2015-01-22,0.015301
2015-01-23,-0.005362
2015-01-26,0.002496
2015-01-27,-0.013292
2015-01-28,-0.013338
2015-01-29,0.009638
2015-01-30,-0.012832
2015-02-02,0.012851
2015-02-03,0.014306
2015-02-04,-0.003814
2015-02-05,0.010546
2015-02-06,-0.003109
2015-02-09,-0.004306
2015-02-10,0.010838
2015-02-11,0.000204
2015-02-12,0.009823
2015-02-13,0.004083
2015-02-17,0.001687
2015-02-18,-0.000217
2015-02-19,-0.000949
2015-02-20,0.006179
2015-02-23,-0.000249
2015-02-24,0.002685
2015-02-25,-0.000578
2015-02-26,-0.001256
2015-02-27,-0.002875
2015-03-02,0.006270
2015-03-03,-0.004584
2015-03-04,-0.004182
2015-03-05,0.001384
2015-03-06,-0.014191
2015-03-09,0.004038
2015-03-10,-0.016802
2015-03-11,-0.001821
2015-03-12,0.012985
2015-03-13,-0.005975
2015-03-16,0.013627
2015-03-17,-0.003348
2015-03-18,0.012142
2015-03-19,-0.004840
2015-03-20,0.009113
2015-03-23,-0.001711
2015-03-24,-0.005943
2015-03-25,-0.014651
2015-03-26,-0.002283
2015-03-27,0.002482
2015-03-30,0.012275
2015-03-31,-0.008564
2015-04-01,-0.003964
2015-04-02,0.003517
2015-04-06,0.006606
2015-04-07,-0.002077
2015-04-08,0.003188
2015-04-09,0.004435
2015-04-10,0.005049
2015-04-13,-0.004475
2015-04-14,0.001618
2015-04-15,0.005081
2015-04-16,-0.000811
2015-04-17,-0.011408
2015-04-20,0.009185
2015-04-21,-0.001377
2015-04-22,0.005124
2015-04-23,0.002476
2015-04-24,0.002430
2015-04-27,-0.004142
2015-04-28,0.002747
2015-04-29,-0.003773
2015-04-30,-0.010055
2015-05-01,0.010831
2015-05-04,0.002882
2015-05-05,-0.011716
2015-05-06,-0.004029
2015-05-07,0.004091
2015-05-08,0.013380
2015-05-11,-0.004815
2015-05-12,-0.002810
2015-05-13,-0.000103
2015-05-14,0.010902
2015-05-15,0.000819
2015-05-18,0.003104
2015-05-19,-0.000774
2015-05-20,-0.000843
2015-05-21,0.002523
2015-05-22,-0.002228
2015-05-26,-0.010319
2015-05-27,0.009336
2015-05-28,-0.001115
2015-05-29,-0.006246
2015-06-01,0.002189
2015-06-02,-0.000941
2015-06-03,0.002344
2015-06-04,-0.008604
2015-06-05,-0.001427
2015-06-08,-0.006372
2015-06-09,0.000510
2015-06-10,0.012180
2015-06-11,0.002003
2015-06-12,-0.006905
2015-06-15,-0.004626
2015-06-16,0.005804
2015-06-17,0.002029
2015-06-18,0.009846
2015-06-19,-0.005333
2015-06-22,0.006047
2015-06-23,0.000747
2015-06-24,-0.007301
2015-06-25,-0.002942
2015-06-26,-0.000170
2015-06-29,-0.020733
2015-06-30,0.002715
2015-07-01,0.007103
2015-07-02,-0.000255
2015-07-06,-0.003790
2015-07-07,0.006243
2015-07-08,-0.016270
2015-07-09,0.002294
2015-07-10,0.012365
2015-07-13,0.011254
2015-07-14,0.004466
2015-07-15,-0.000920
2015-07-16,0.008094
2015-07-17,0.001293
2015-07-20,0.000878
2015-07-21,-0.004271
2015-07-22,-0.002211
2015-07-23,-0.005694
2015-07-24,-0.010448
2015-07-27,-0.005735
2015-07-28,0.012287
2015-07-29,0.007463
2015-07-30,0.000173
2015-07-31,-0.002188
2015-08-03,-0.002668
2015-08-04,-0.002132
2015-08-05,0.003721
2015-08-06,-0.007522
2015-08-07,-0.003015
2015-08-10,0.012663
2015-08-11,-0.009151
2015-08-12,0.001134
2015-08-13,-0.001210
2015-08-14,0.003977
2015-08-17,0.005273
2015-08-18,-0.002599
2015-08-19,-0.008167
2015-08-20,-0.020957
2015-08-21,-0.031650
2015-08-24,-0.039370
2015-08-25,-0.013361
2015-08-26,0.039171
2015-08-27,0.024262
2015-08-28,0.000638
2015-08-31,-0.008320
2015-09-01,-0.029419
2015-09-02,0.018473
2015-09-03,0.001312
2015-09-04,-0.015208
2015-09-08,0.025442
2015-09-09,-0.013809
2015-09-10,0.005224
2015-09-11,0.004920
2015-09-14,-0.004017
2015-09-15,0.012701
2015-09-16,0.008801
2015-09-17,-0.002355
2015-09-18,-0.016077
2015-09-21,0.004610
2015-09-22,-0.012320
2015-09-23,-0.002029
2015-09-24,-0.003418
2015-09-25,-0.000514
2015-09-28,-0.025485
2015-09-29,0.001182
2015-09-30,0.019174
2015-10-01,0.002083
2015-10-02,0.014535
2015-10-05,0.018311
2015-10-06,-0.003619
2015-10-07,0.008414
2015-10-08,0.008755
2015-10-09,0.000816
2015-10-12,0.001287
2015-10-13,-0.006699
2015-10-14,-0.005229
2015-10-15,0.014745
2015-10-16,0.004642
2015-10-19,0.000199
2015-10-20,-0.001495
2015-10-21,-0.005683
2015-10-22,0.016549
2015-10-23,0.010928
2015-10-26,-0.001801
2015-10-27,-0.002522
2015-10-28,0.011774
2015-10-29,-0.000330
2015-10-30,-0.004718
2015-11-02,0.011687
2015-11-03,0.002679
2015-11-04,-0.003090
2015-11-05,-0.000744
