PERMNO,date
18484,2020-05-28
18484,2020-05-29
18484,2020-06-01
18484,2020-06-02
18484,2020-06-03
18484,2020-06-04
18484,2020-06-05
18484,2020-06-08
18484,2020-06-09
18484,2020-06-10
18484,2020-06-11
18484,2020-06-12
18484,2020-06-15
18484,2020-06-16
18484,2020-06-17
18484,2020-06-18
18484,2020-06-19
18484,2020-06-22
18484,2020-06-23
18484,2020-06-24
18484,2020-06-25
18484,2020-06-26
18484,2020-06-29
18484,2020-06-30
18484,2020-07-01
18484,2020-07-02
18484,2020-07-06
18484,2020-07-07
18484,2020-07-08
18484,2020-07-09
18484,2020-07-10
18484,2020-07-13
18484,2020-07-14
18484,2020-07-15
18484,2020-07-16
18484,2020-07-17
18484,2020-07-20
18484,2020-07-21
18484,2020-07-22
18484,2020-07-23
18484,2020-07-24
18484,2020-07-27
18484,2020-07-28
18484,2020-07-29
18484,2020-07-30
18484,2020-07-31
18484,2020-08-03
18484,2020-08-04
18484,2020-08-05
18484,2020-08-06
18484,2020-08-07
18484,2020-08-10
18484,2020-08-11
18484,2020-08-12
18484,2020-08-13
18484,2020-08-14
18484,2020-08-17
18484,2020-08-18
18484,2020-08-19
18484,2020-08-20
18484,2020-08-21
18484,2020-08-24
18484,2020-08-25
18484,2020-08-26
18484,2020-08-27
18484,2020-08-28
18484,2020-08-31
18484,2020-09-01
18484,2020-09-02
18484,2020-09-03
18484,2020-09-04
18484,2020-09-08
18484,2020-09-09
18484,2020-09-10
18484,2020-09-11
18484,2020-09-14
18484,2020-09-15
18484,2020-09-16
18484,2020-09-17
18484,2020-09-18
18484,2020-09-21
18484,2020-09-22
18484,2020-09-23
18484,2020-09-24
18484,2020-09-25
18484,2020-09-28
18484,2020-09-29
18484,2020-09-30
18484,2020-10-01
18484,2020-10-02
18484,2020-10-05
18484,2020-10-06
18484,2020-10-07
18484,2020-10-08
18484,2020-10-09
18484,2020-10-12
18484,2020-10-13
18484,2020-10-14
18484,2020-10-15
18484,2020-10-16
18484,2020-10-19
18484,2020-10-20
18484,2020-10-21
18484,2020-10-22
18484,2020-10-23
18484,2020-10-26
18484,2020-10-27
18484,2020-10-28
18484,2020-10-29
18484,2020-10-30
18484,2020-11-02
18484,2020-11-03
18484,2020-11-04
18484,2020-11-05
18484,2020-11-06
18484,2020-11-09
18484,2020-11-10
18484,2020-11-11
18484,2020-11-12
18484,2020-11-13
18484,2020-11-16
18484,2020-11-17
18484,2020-11-18
18484,2020-11-19
18484,2020-11-20
18484,2020-11-23
18484,2020-11-24
18484,2020-11-25
18484,2020-11-27
18484,2020-11-30
18484,2020-12-01
18484,2020-12-02
18484,2020-12-03
18484,2020-12-04
18484,2020-12-07
18484,2020-12-08
18484,2020-12-09
18484,2020-12-10
18484,2020-12-11
18484,2020-12-14
18484,2020-12-15
18484,2020-12-16
18484,2020-12-17
18484,2020-12-18
18484,2020-12-21
18484,2020-12-22
18484,2020-12-23
18484,2020-12-24
18484,2020-12-28
18484,2020-12-29
18484,2020-12-30
18484,2020-12-31
18484,2021-01-04
18484,2021-01-05
18484,2021-01-06
18484,2021-01-07
18484,2021-01-08
18484,2021-01-11
18484,2021-01-12
18484,2021-01-13
18484,2021-01-14
18484,2021-01-15
18484,2021-01-19
18484,2021-01-20
18484,2021-01-21
18484,2021-01-22
18484,2021-01-25
18484,2021-01-26
18484,2021-01-27
18484,2021-01-28
18484,2021-01-29
18484,2021-02-01
18484,2021-02-02
18484,2021-02-03
18484,2021-02-04
18484,2021-02-05
18484,2021-02-08
18484,2021-02-09
18484,2021-02-10
18484,2021-02-11
18484,2021-02-12
18484,2021-02-16
